mode: set
webapp/cmd/web/forms.go:7.42,10.26 2 1
webapp/cmd/web/forms.go:10.26,12.3 1 1
webapp/cmd/web/forms.go:14.2,14.11 1 1
webapp/cmd/web/forms.go:17.47,19.2 1 1
webapp/cmd/web/forms.go:26.37,31.2 1 1
webapp/cmd/web/forms.go:33.43,34.31 1 1
webapp/cmd/web/forms.go:34.31,36.3 1 1
webapp/cmd/web/forms.go:38.39,40.2 1 1
webapp/cmd/web/forms.go:41.59,42.11 1 1
webapp/cmd/web/forms.go:42.11,44.3 1 1
webapp/cmd/web/forms.go:47.29,49.2 1 1
webapp/cmd/web/handlers.go:9.70,11.2 1 1
webapp/cmd/web/handlers.go:13.71,15.16 2 0
webapp/cmd/web/handlers.go:15.16,18.3 2 0
webapp/cmd/web/handlers.go:20.2,24.22 4 0
webapp/cmd/web/handlers.go:27.72,30.2 2 0
webapp/cmd/web/main.go:11.13,19.16 5 0
webapp/cmd/web/main.go:19.16,21.3 1 0
webapp/cmd/web/middleware.go:14.75,18.2 2 1
webapp/cmd/web/middleware.go:20.72,22.48 1 1
webapp/cmd/web/middleware.go:22.48,26.4 2 1
webapp/cmd/web/middleware.go:30.45,35.18 4 1
webapp/cmd/web/middleware.go:35.18,38.3 1 1
webapp/cmd/web/middleware.go:40.2,41.22 2 1
webapp/cmd/web/middleware.go:41.22,45.3 3 1
webapp/cmd/web/middleware.go:47.2,47.12 1 1
webapp/cmd/web/middleware.go:47.12,50.3 2 1
webapp/cmd/web/middleware.go:52.2,52.16 1 1
webapp/cmd/web/routes.go:14.47,25.2 7 1
webapp/cmd/web/routes.go:32.108,37.16 3 1
webapp/cmd/web/routes.go:37.16,40.3 2 0
webapp/cmd/web/routes.go:42.2,43.16 2 1
webapp/cmd/web/routes.go:43.16,46.3 2 0
webapp/cmd/web/routes.go:48.2,48.12 1 1
